"An error occurred while clearing the external full page cache.,""kesalahan muncul saat meghapus halaman penuh cache eksternal."""
"Cookie Lifetime (seconds),""Cookie Lifetime (seconds)"""
"Enable External Cache,""Aktifkan Cache Eksternal"""
"External Cache Control,""Kontrol Cache Eksternal"""
"External Full Page Cache Settings,""Pengaturan Cache halaman penuh Eksternal"""
"External full page cache.,""Eksternal halaman cache penuh."""
"Failed to load external cache control,""Gagal untuk memuat kontrol cache eksternal"""
"Flush External Page Cache,""Mengaliri Cache halaman Eksternal"""
"If empty, default value will be used.,""jika kosong, nilai standar akan digunakan."""
"The external full page cache has been cleaned.,""Cache halaman eksternal penuh telah dibersihkan."""
"Zend Full Page Cache,""Cache halaman penuh Zend"""
